volume_fraction,lynch,saxs,saxs hard spheres
0.01,19.1431912546,19.1431606185,19.0205873848
0.0159595959596,30.55175978,30.5517108861,30.2378606054
0.0219191919192,41.9603283055,41.9602611537,41.365152832
0.0278787878788,53.3688968309,53.3688114213,52.4010836574
0.0338383838384,64.7774653564,64.7773616888,63.3442549151
0.039797979798,76.1860338818,76.1859119564,74.1932401184
0.0457575757576,87.5946024073,87.594462224,84.9465739801
0.0517171717172,99.0031709327,99.0030124916,95.6027422262
0.0576767676768,110.411739458,110.411562759,106.160171944
0.0636363636364,121.820307984,121.820113027,116.617222729
0.069595959596,133.228876509,133.228663294,126.972178923
0.0755555555556,144.637445035,144.637213562,137.223243251
0.0815151515152,156.04601356,156.04576383,147.368532195
0.0874747474747,167.454582085,167.454314097,157.406073452
0.0934343434343,178.863150611,178.862864365,167.333805823
0.0993939393939,190.271719136,190.271414632,177.149581906
0.105353535354,201.680287662,201.6799649,186.851173935
0.111313131313,213.088856187,213.088515167,196.436283103
0.117272727273,224.497424713,224.497065435,205.902552672
0.123232323232,235.905993238,235.905615703,215.247585141
0.129191919192,247.314561764,247.31416597,224.468963663
0.135151515152,258.723130289,258.722716238,233.564277849
0.141111111111,270.131698814,270.131266505,242.531153994
0.147070707071,281.54026734,281.539816773,251.367289654
0.15303030303,292.948835865,292.948367041,260.070492361
0.15898989899,304.357404391,304.356917308,268.638722137
0.164949494949,315.765972916,315.765467576,277.070137277
0.170909090909,327.174541442,327.174017843,285.363142706
0.176868686869,338.583109967,338.582568111,293.516440032
0.182828282828,349.991678493,349.991118379,301.529078172
0.188787878788,361.400247018,361.399668646,309.400503276
0.194747474747,372.808815543,372.808218914,317.130606431
0.200707070707,384.217384069,384.216769181,324.719767455
0.206666666667,395.625952594,395.625319449,332.168892917
0.212626262626,407.03452112,407.033869716,339.479446354
0.218585858586,418.443089645,418.442419984,346.653468602
0.224545454545,429.851658171,429.850970252,353.693586042
0.230505050505,441.260226696,441.259520519,360.603004635
0.236464646465,452.668795222,452.668070787,367.38548765
0.242424242424,464.077363747,464.076621054,374.045315186
0.248383838384,475.485932273,475.485171322,380.587223814
0.254343434343,486.894500798,486.89372159,387.016325028
0.260303030303,498.303069323,498.302271857,393.33800159
0.266262626263,509.711637849,509.710822125,399.557781412
0.272222222222,521.120206374,521.119372392,405.681189168
0.278181818182,532.5287749,532.52792266,411.713576522
0.284141414141,543.937343425,543.936472928,417.659932529
0.290101010101,555.345911951,555.345023195,423.524676464
0.296060606061,566.754480476,566.753573463,429.311436046
0.30202020202,578.163049002,578.16212373,435.022814572
0.30797979798,589.571617527,589.570673998,440.660151001
0.313939393939,600.980186052,600.979224265,446.223277284
0.319898989899,612.388754578,612.387774533,451.710277334
0.325858585859,623.797323103,623.796324801,457.117251754
0.331818181818,635.205891629,635.204875068,462.438091975
0.337777777778,646.614460154,646.613425336,467.66426655
0.343737373737,658.02302868,658.021975603,472.784621334
0.349696969697,669.431597205,669.430525871,477.78519402
0.355656565657,680.840165731,680.839076139,482.649042427
0.361616161616,692.248734256,692.247626406,487.356085168
0.367575757576,703.657302781,703.656176674,491.88295341
0.373535353535,715.065871307,715.064726941,496.202853781
0.379494949495,726.474439832,726.473277209,500.285445672
0.385454545455,737.883008358,737.881827477,504.096741898
0.391414141414,749.291576883,749.290377744,507.599050319
0.397373737374,760.700145409,760.698928012,510.750986239
0.403333333333,772.108713934,772.107478279,513.507600987
0.409292929293,783.51728246,783.516028547,515.820690817
0.415252525253,794.925850985,794.924578814,517.639370288
0.421212121212,806.334419511,806.333129082,518.911012878
0.427171717172,817.742988036,817.74167935,519.582673471
0.433131313131,829.151556561,829.150229617,519.603105855
0.439090909091,840.560125087,840.558779885,518.925464674
0.445050505051,851.968693612,851.967330152,517.510727521
0.45101010101,863.377262138,863.37588042,515.331784038
0.45696969697,874.785830663,874.784430688,512.378018065
0.462929292929,886.194399189,886.192980955,508.660070145
0.468888888889,897.602967714,897.601531223,504.214338463
0.474848484848,909.01153624,909.01008149,499.106693187
0.480808080808,920.420104765,920.418631758,493.4348793
0.486767676768,931.82867329,931.827182026,487.329189965
0.492727272727,943.237241816,943.235732293,480.951202913
0.498686868687,954.645810341,954.644282561,474.490649941
0.504646464646,966.054378867,966.052832828,468.160769717
0.510606060606,977.462947392,977.461383096,462.192700504
0.516565656566,988.871515918,988.869933363,456.829534981
0.522525252525,1000.28008444,1000.27848363,452.320541183
0.528484848485,1011.68865297,1011.6870339,448.915734665
0.534444444444,1023.09722149,1023.09558417,446.860462805
0.540404040404,1034.50579002,1034.50413443,446.38891814
0.546363636364,1045.91435854,1045.9126847,447.714492528
0.552323232323,1057.32292707,1057.32123497,451.01355866
0.558282828283,1068.7314956,1068.72978524,456.39762029
0.564242424242,1080.14006412,1080.1383355,463.867087452
0.570202020202,1091.54863265,1091.54688577,473.239256726
0.576161616162,1102.95720117,1102.95543604,484.046079735
0.582121212121,1114.3657697,1114.36398631,495.409167942
0.588080808081,1125.77433822,1125.77253657,505.927031306
0.59404040404,1137.18290675,1137.18108684,513.654056245
0.6,1148.59147527,1148.58963711,516.289870202
